纬度,经度,店名,类型,其他1,其他2,其他3
30.5408851,114.3530505,桂园食堂,,,,bus_stop
30.5386354,114.3550385,文理学部五教,,,,bus_stop
30.5361756,114.3533801,校大门,,,,bus_stop
30.5329073,114.3548548,自强超市,,supermarket,,
30.5243181,114.3444306,Wuhan University of Technology Canteen 武汉理工大学 东校区食堂,restaurant,,,
30.5606221,114.3321247,周黑鸭,restaurant,deli,,
30.5558252,114.3407916,星巴克,cafe,,,
30.5581987,114.3379215,翠华餐厅,fast_food,,,
30.5234719,114.3458895,珞狮路理工大,,,,bus_stop
30.5235626,114.3455448,珞狮路理工大,,,,bus_stop
30.5283848,114.351748,漫咖啡,cafe,,,
30.5287939,114.3499655,继光香香鸡,restaurant,,,
30.5250998,114.3577806,醉得意,restaurant,,,
30.5506786,114.3386135,水果湖横路水果湖,,,,bus_stop
30.5215352,114.3515331,博雅美食城,restaurant,,,
30.5378962,114.3591408,肯德基,fast_food,,,
30.5438805,114.34166,洪山侧路东三路,,,,bus_stop
30.5272206,114.3571077,永利妍农家菜,restaurant,,,
30.5279523,114.357544,布朗尼西饼,cafe,,,
30.528286,114.3577423,大鹏牛肉粉,restaurant,,,
30.5289459,114.3581317,周黑鸭,fast_food,deli,,
30.5290584,114.3581829,帝森蛋糕,cafe,,,
30.5291714,114.3582344,广东烧卤饭,restaurant,,,
30.5301471,114.3585676,赵记怪味面,restaurant,,,
30.5304325,114.359038,扇味黄焖鸡米饭,fast_food,,,
30.5306438,114.3591131,馋嘴花甲,fast_food,,,
30.5307531,114.3591533,重庆红牛餐厅,restaurant,,,
30.5310101,114.3592602,小罗餐厅,restaurant,,,
30.5314536,114.3594248,香溪园餐厅,restaurant,,,
30.5312424,114.3593464,老王烧烤,fast_food,,,
30.5339617,114.3504586,农家木桶套餐饭,restaurant,,,
30.5337633,114.3501963,大味火锅,restaurant,,,
30.5333503,114.350034,王氏饼屋,fast_food,,,
30.5312825,114.3490454,蓉城自助小火锅,restaurant,,,
30.5315899,114.3491593,粥王府,restaurant,,,
30.5311449,114.3489997,小川料理,restaurant,,,
30.530912,114.3488942,凌枫轩中式快餐,fast_food,,,
30.5303748,114.3487282,小派鸡排,fast_food,,,
30.5280378,114.3524927,重百火锅,restaurant,,,
30.5378384,114.3579057,布咖啡,cafe,,,
30.5334204,114.3343406,武珞路地铁宝通寺,,,,bus_stop
30.5478885,114.3316631,洪山广场,,,station,
30.5348199,114.3602225,它山咖啡,cafe,,,
30.5310457,114.3378324,麦当劳,fast_food,,,
30.5601126,114.3333311,星巴克,cafe,,,
30.5596194,114.3342993,Lady Seven Cafe,cafe,,,
30.5289654,114.3477921,街道口,,,station,
30.532849,114.3350452,宝通寺,,,station,
30.5279851,114.3494983,必胜客,restaurant,,,
